analysis_id,8vaf45axm4e6m27
mouse_strain,C57BL
pvalue,0.06437144
gene_accession_id,MGI:1923959
parameter_name,B cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
gene_symbol,Arpc2
