parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:2442483
analysis_id,o981wauu119a9nq
parameter_id,HRWLLA_OFD_013_001
pvalue,0.3153273
mouse_life_stage,Early adult
gene_symbol,Usp37
