parameter_name,Total protein
mouse_strain,C57BL
analysis_id,52cbgwmm3783988
parameter_id,IMPC_CBC_006_001
gene_symbol,Mapkap1
pvalue,0.5373302
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
