analysis_id,9785j19527bphd5
parameter_id,HMGULA_CBC_017_001
gene_symbol,Frmpd1
parameter_name,Triglycerides
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.3171983
mouse_life_stage,Early adult
