mouse_strain,C57BL
analysis_id,t8ge521qn818843
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:1917604
parameter_name,NK cell number
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
pvalue,0.1012617
