analysis_id,iz68x8z3u54i3qt
gene_accession_id,MGI:1888742
gene_symbol,Extl1
pvalue,0.2405396
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
