gene_symbol,Ivd
mouse_strain,C57BL
gene_accession_id,MGI:1929242
pvalue,1.192701
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
analysis_id,530n773b35cx08y
