analysis_id,m737kn63k7n0wcy
gene_symbol,Dcaf12
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
pvalue,0.8542797
parameter_name,ST
gene_accession_id,MGI:1916220
mouse_strain,C57BL
