analysis_id,l14e1b5bwbl1j9n
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2385884
pvalue,0.9695109
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
gene_symbol,Ddx27
