parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
analysis_id,06cf52sn0sa42s1
pvalue,0.5273434
parameter_id,IMPC_IMM_032_001
