gene_symbol,Bpifa3
parameter_id,IMPC_IMM_006_001
analysis_id,6ec52aq714c713g
parameter_name,Others
gene_accession_id,MGI:1920638
pvalue,0.6421842
mouse_strain,C57BL
mouse_life_stage,Early adult
