gene_symbol,Car13
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1931322
pvalue,0.6257803
mouse_strain,C57BL
parameter_name,Facial Morphology
analysis_id,1mo7nnb9j60o1tr
