parameter_name,Time mobile dark side
gene_symbol,Trpa1
mouse_life_stage,Early adult
analysis_id,34ak75nenmr8dhh
mouse_strain,C57BL
pvalue,0.5362768
gene_accession_id,MGI:3522699
parameter_id,JAX_LDT_005_001
