analysis_id,393po3uf129h0c8
parameter_name,Center average speed
gene_symbol,Ahcy
mouse_strain,C57BL
pvalue,0.815599
parameter_id,JAXLA_OFD_017_001
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
