gene_symbol,Ppm1j
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
analysis_id,mhh97y330n0025p
pvalue,0.1250643
parameter_name,Tremor
