analysis_id,77qnbcaj6pn6296
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,IMPC_HEM_039_001
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.5546433
