gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
pvalue,0.7166517
analysis_id,655h4si848f2359
parameter_name,Skull shape
mouse_life_stage,Early adult
