gene_symbol,Bmp7
parameter_name,Effector Treg cells - % of Treg
analysis_id,34kt19xgr5qjy81
pvalue,0.2613568
parameter_id,MGP_IMM_010_001
mouse_strain,C57BL
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
