gene_symbol,Sgip1
parameter_id,JAX_LDT_003_001
pvalue,0.8299512
mouse_life_stage,Early adult
analysis_id,e8r148dn5196yy2
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Time mobile light side
