analysis_id,912wlyqknmc70js
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,CCP_XRY_001_001
pvalue,0.7641867
parameter_name,Skull shape
