analysis_id,13i301fs6hkv3wa
parameter_name,Liver weight
parameter_id,UCD_OWT_008_001
pvalue,0.443968
gene_accession_id,MGI:1918345
gene_symbol,Kif24
mouse_strain,C57BL
mouse_life_stage,Early adult
