analysis_id,49oqudnr4m96645
parameter_id,JAX_LDT_008_001
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_name,Percent time in dark
gene_accession_id,MGI:1913576
mouse_strain,C57BL
pvalue,0.6240785
