parameter_name,Skull shape
gene_symbol,Fpgs
pvalue,0.8736366
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95576
analysis_id,l4o0nl96kcf5852
parameter_id,CCP_XRY_001_001
