analysis_id,5h7i1o0d9a1n555
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
gene_symbol,Ift74
gene_accession_id,MGI:1914944
pvalue,0.1187162
