analysis_id,7z93m232oca0q5m
pvalue,0.8214473
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
mouse_strain,C57BL
gene_symbol,Trpa1
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
