parameter_name,Vibrissae - appearance
mouse_life_stage,E9.5
parameter_id,HMGULA_DYS_024_001
pvalue,0.7680714
analysis_id,nclrqepb06o1hvh
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
