parameter_name,Potassium
gene_symbol,Wars2
analysis_id,7jfh77507ye36k7
pvalue,0.322113
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,GMC_906_001_005
gene_accession_id,MGI:1917810
