analysis_id,2fa087967rg133g
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.8608007
parameter_name,lens opacity
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
