gene_symbol,Kcng1
mouse_strain,C57BL
pvalue,0.2411526
analysis_id,8m9gw906l3170q9
mouse_life_stage,Early adult
parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:3616086
