analysis_id,0a3cb4gv9306011
pvalue,0.8692214
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
gene_symbol,Dhdds
parameter_name,Basophil cell count
mouse_strain,C57BL
gene_accession_id,MGI:1914672
