gene_symbol,Tnni1
mouse_strain,C57BL
analysis_id,7raqr4ya9qhar35
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
parameter_name,Coat - color pattern - back
pvalue,0.7166115
gene_accession_id,MGI:105073
