analysis_id,y59ohr494051730
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_id,ESLIM_007_001_015
parameter_name,Number of centre entries
gene_symbol,Ivd
pvalue,0.4963871
mouse_life_stage,Early adult
