analysis_id,4yfd4cj7oxtr0ao
gene_symbol,Ssr2
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1913506
pvalue,0.9405907
mouse_life_stage,Early adult
parameter_name,Eye
