parameter_name,Potassium
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_id,GMC_906_001_005
pvalue,0.5240774
mouse_strain,C50BL
analysis_id,lb8m55sjwvgf2uz
mouse_life_stage,Early adult
