analysis_id,8yiu13jv9629b2z
gene_accession_id,MGI:1924315
parameter_name,Forebrain
gene_symbol,Ints7
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_028_001
mouse_strain,C57BL
pvalue,0.1632806
