parameter_id,JAX_SLW_009_001
mouse_life_stage,Early adult
gene_symbol,Tnni1
mouse_strain,C57BL
parameter_name,Dark sleep bout lengths mean
gene_accession_id,MGI:105073
pvalue,0.537862
analysis_id,7afqubaowlo396z
