parameter_name,Neural tube morphology
mouse_strain,C57BL
pvalue,0.5613619
parameter_id,IMPC_GEL_060_001
analysis_id,44knt670m278m0a
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
