gene_symbol,Dmap1
mouse_life_stage,E9.5
parameter_id,MGP_PBI_031_001
pvalue,0.609454
gene_accession_id,MGI:1913483
analysis_id,g89t6n2338y6fr2
parameter_name,KLRG1+ mature NK cell number
mouse_strain,C57BL
