gene_symbol,Kdm4c
pvalue,0.9591024
analysis_id,00zrwac2fx6p5xn
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
parameter_name,Periphery permanence time
gene_accession_id,MGI:1924054
