gene_symbol,Dnaaf9
mouse_life_stage,Early adult
pvalue,0.8312806
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
parameter_name,LVIDd
gene_accession_id,MGI:1923029
analysis_id,t2go6i554q9v2i1
