parameter_id,JAXLA_EYE_092_001
analysis_id,5m40m17eo7v45w3
parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
gene_symbol,Slc30a4
pvalue,0.5802295
