analysis_id,q8e1642vt6c7og1
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.294592
parameter_name,Alkaline phosphatase
