gene_symbol,Pld1
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
pvalue,0.4840757
gene_accession_id,MGI:109585
mouse_strain,C57BL
analysis_id,3jp319f56lqdg64
parameter_name,Response amplitude - S
