parameter_name,Pale yolk sac
analysis_id,k6csy71ie76wt8o
mouse_strain,C57BL
pvalue,0.2643297
parameter_id,IMPC_GEL_017_002
gene_symbol,Psd4
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
