parameter_id,JAX_OFD_021_001
analysis_id,38s14y778g3a03c
mouse_strain,C57BL
gene_symbol,SLA2
gene_accession_id,MGI:1925049
parameter_name,Number of rears - total
mouse_life_stage,Early adult
pvalue,0.1161208
