parameter_name,Cornea
gene_accession_id,MGI:1914515
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
pvalue,0.7724338
analysis_id,7584s7r961288dj
gene_symbol,Slc39a10
mouse_strain,C57BL
