gene_symbol,Zmynd8
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
pvalue,0.9657212
analysis_id,j63rif16l1g6q67
