analysis_id,90t948u46ye4kxu
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,IMPC_HEM_001_001
pvalue,0.2371931
parameter_name,White blood cell count
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
