parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
analysis_id,08c5n5y12ru44s7
pvalue,0.7779856
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
