parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:2385156
analysis_id,z3q9i04ea8z349j
gene_symbol,SDCBP2
pvalue,0.7601628
mouse_life_stage,Early adult
parameter_name,Total holepokes
