analysis_id,8477b3w8s4199d4
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECG_028_001
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,QT
pvalue,0.3055286
