analysis_id,889wk9g1m63554d
parameter_name,Calcium
mouse_strain,C55BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_009_001
gene_symbol,Ssr2
pvalue,0.7027683
gene_accession_id,MGI:1913506
