parameter_name,LVIDd
mouse_life_stage,Early adult
analysis_id,12e9115o89t2q5g
gene_accession_id,MGI:97838
pvalue,0.5598314
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
