parameter_name,center - resting time
mouse_strain,C57BL
gene_accession_id,MGI:109356
pvalue,0.5296441
analysis_id,900cx59c978f26u
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
gene_symbol,Snap23
