gene_symbol,Nucks1
analysis_id,2l32f32ne271795
mouse_life_stage,Middle aged adult
pvalue,0.3422374
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
parameter_name,B Cells
gene_accession_id,MGI:1934811
