analysis_id,1qnt4x04r3t8vnr
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4068409
gene_symbol,Lime1
gene_accession_id,MGI:1919949
