analysis_id,si9f87fu0egl896
pvalue,0.6472086
mouse_strain,C57BL
gene_symbol,Abo
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
