analysis_id,099h1b093l442in
gene_symbol,Ddx27
mouse_strain,C57BL
gene_accession_id,MGI:2385884
parameter_name,Ventral coat/hair presence
pvalue,0.5681105
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
