gene_symbol,F2
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
parameter_name,PQ
analysis_id,qo8e22799xb22lm
pvalue,0.4092712
