parameter_name,Total bilirubin
mouse_strain,C57BL
gene_symbol,Gpbp1l1
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:1924360
pvalue,0.2694715
analysis_id,9o5biv3t4lt59sf
mouse_life_stage,Early adult
