parameter_id,IMPC_GEO_009_002
analysis_id,vzex70oj27kzp5y
parameter_name,Hemorrhage
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
pvalue,0.6142145
mouse_strain,C57BL
gene_symbol,Dmap1
