analysis_id,t5r27aw4q8mj3w7
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
pvalue,0.2763277
mouse_strain,C57BL
parameter_id,IMPC_GRS_011_001
