analysis_id,uh377b5juxe7vay
mouse_strain,C57BL
parameter_name,Fat mass
mouse_life_stage,Early adult
gene_symbol,Tatdn3
parameter_id,IMPC_DXA_002_001
pvalue,0.8438396
gene_accession_id,MGI:1916222
