gene_symbol,Ivd
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_name,Basophil cell count
analysis_id,0g5xb7zw641t2e6
pvalue,0.2748195
